note,type
B,eighth
A,eighth
G,eighth
A,eighth
B,eighth
B,eighth
B,half
A,eighth
A,eighth
A,half
B,eighth
B,eighth
B,half
B,eighth
A,eighth
G,eighth
A,eighth
B,eighth
B,eighth
B,half
A,eighth
A,eighth
B,eighth
A,eighth
G,half
